tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:51:38.850122 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 1321200717:1321200825, ack 2898627280, win 435, length 108
20:51:38.850193 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 108:144, ack 1, win 435, length 36
20:51:38.850266 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 144:252, ack 1, win 435, length 108
20:51:38.850325 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 252:288, ack 1, win 435, length 36
20:51:38.850485 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 288:460, ack 1, win 435, length 172
20:51:38.850546 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 460:496, ack 1, win 435, length 36
20:51:38.850626 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 496:644, ack 1, win 435, length 148
20:51:38.850684 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 644:680, ack 1, win 435, length 36
20:51:38.850758 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 680:828, ack 1, win 435, length 148
20:51:38.852905 IP 198.96.85.163.49760 > 142.93.151.37.22: Flags [.], ack 828, win 1020, length 0
20:51:38.852941 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 828:1968, ack 1, win 435, length 1140
20:51:38.853033 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 1968:2100, ack 1, win 435, length 132
20:51:38.853105 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2100:2136, ack 1, win 435, length 36
20:51:38.853178 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2136:2284, ack 1, win 435, length 148
20:51:38.853234 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2284:2320, ack 1, win 435, length 36
20:51:38.853306 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2320:2468, ack 1, win 435, length 148
20:51:38.853358 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2468:2504, ack 1, win 435, length 36
20:51:38.853427 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2504:2652, ack 1, win 435, length 148
20:51:38.853482 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2652:2688, ack 1, win 435, length 36
20:51:38.853542 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2688:2836, ack 1, win 435, length 148
20:51:38.853676 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 2872:3020, ack 1, win 435, length 148
20:51:38.853779 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 3056:3204, ack 1, win 435, length 148
20:51:38.853905 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 3240:3388, ack 1, win 435, length 148
20:51:38.854035 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 3424:3572, ack 1, win 435, length 148
20:51:38.854160 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 3608:3756, ack 1, win 435, length 148
20:51:38.856287 IP 198.96.85.163.49760 > 142.93.151.37.22: Flags [.], ack 3756, win 1025, length 0
20:51:38.856319 IP 142.93.151.37.22 > 198.96.85.163.49760: Flags [P.], seq 3756:4896, ack 1, win 435, length 1140
